	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	298	0	6	0
[2]	267	0	30	0
[3]	117	0	45	0
[4]	274	0	50	0
[5]	206	0	97	0
[6]	122	0	250	0
[7]	119	2	500	494
[8]	272	0	501	500
[9]	116	1	507	501
[10]	370	1	583	82
[11]	205	0	601	0
[12]	107	0	603	0
[13]	108	0	604	0
[14]	101	1	608	7
[15]	103	1	608	7
[16]	105	1	608	7
[17]	102	0	687	86
[18]	104	0	687	86
[19]	106	0	687	86
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	120	1	501	0
[2]	121	2	11	0
[3]	131	2	106	9
[4]	115	2	115	100
[5]	135	2	508	0
[6]	111	1	505	495
[7]	132	1	607	0
[8]	142	2	588	7
[9]	231	2	687	0
[Average Delay]	88.11 ms
[Success Rate]	32.14 %
